date,platform,category,title,hook,duration_seconds,editorial_score,video_published,views,likes,comments,average_retention,completion_rate,followers_generated,revenue_real_eur,source_url,video_path,metadata_path
2026-09-08T10:48:26+00:00,manual_upload_pending,relationship,His Ex Texted Me From His Phone,My boyfriend told me his ex was completely out of his life. Then she texted me from his phone.,73.85,8.8,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-08T11:12:05+00:00,manual_upload_pending,relationship,His Ex Texted Me From His Phone,My boyfriend told me his ex was completely out of his life. Then she texted me from his phone.,73.85,8.8,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-08T15:46:55+00:00,manual_upload_pending,relationship,His Ex Texted Me From His Phone,My boyfriend told me his ex was completely out of his life. Then she texted me from his phone.,65.21,8.8,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-08T16:27:41+00:00,manual_upload_pending,relationship,His Ex Texted Me From His Phone,My boyfriend told me his ex was completely out of his life. Then she texted me from his phone.,65.21,8.8,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-09T07:22:30+00:00,manual_upload_pending,relationship,The Delivery Driver Exposed His Secret Apartment,His food delivery driver is how I discovered my boyfriend had a second apartment.,70.68,9.0,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-09T07:39:10+00:00,manual_upload_pending,relationship,The Delivery Driver Exposed His Secret Apartment,His food delivery driver is how I discovered my boyfriend had a second apartment.,70.68,9.0,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-09T11:15:32+00:00,manual_upload_pending,relationship,His Sister Exposed the Secret Account,His sister accidentally exposed the savings account my fiancé had been hiding from me.,66.74,9.1,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-10T04:10:45+00:00,manual_upload_pending,relationship,His Mother Canceled Our Wedding Venue,My boyfriend's mother canceled our wedding venue without telling either of us.,73.73,9.2,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-10T15:09:56+00:00,manual_upload_pending,relationship,His Best Friend Matched With Me on a Dating App,My boyfriend's best friend matched with me on a dating app while we were still together.,75.17,9.3,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-11T06:31:22+00:00,manual_upload_pending,relationship,He Planned a Move Abroad Without Telling Me,My boyfriend applied for a job overseas and forgot to mention that our relationship wasn’t part of the plan.,71.26,9.2,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-11T15:10:43+00:00,manual_upload_pending,relationship,He Turned Our Fights Into a Group Chat Series,My boyfriend turned our private arguments into entertainment for his friends.,68.93,9.3,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-12T04:05:18+00:00,manual_upload_pending,relationship,He Gave His Ex a Key to Our Apartment,My boyfriend gave his ex a key to our apartment and somehow thought I wouldn't mind.,70.2,9.4,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
2026-09-12T15:10:23+00:00,manual_upload_pending,relationship,He Let His Brother Move In Without Asking Me,My boyfriend promised his brother he could move into our apartment for three months without asking me.,66.31,9.2,no,,,,,,,0,,/home/runner/work/tiktok-automation/tiktok-automation/output/final_video.mp4,/home/runner/work/tiktok-automation/tiktok-automation/output/metadata.json
